	W	Reject null hypothesis
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae	9	False
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae	9	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	9	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae	8	False
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae	8	False
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14	8	False
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae	8	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured	8	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae	7	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae	7	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae	7	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae	7	False
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae	7	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	6	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae	6	False
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	6	False
Bacteria;Actinobacteriota;MB-A2-108;MB-A2-108;MB-A2-108	6	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae	6	False
Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae	6	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae	6	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	5	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae	5	False
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	5	False
Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae	5	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;__	5	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	4	False
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	3	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	3	False
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae	3	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae	3	False
Bacteria;Actinobacteriota;Actinobacteria;PeM15;PeM15	2	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Catellicoccaceae	2	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	2	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	2	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae	2	False
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	1	False
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	1	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0	False
