Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	01d	01d	01d	01d	01d	02d	02d	02d	02d	02d	05d	05d	05d	05d	05d	08d	08d	08d	08d	08d	15d	15d	15d	15d	15d	21d	21d	21d	21d	21d
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae	29.0	71.0	108.0	157.25	368.0	1.0	7.0	20.0	40.75	92.0	4.0	18.25	46.0	69.75	171.0	8.0	22.5	31.0	64.5	93.0	122.0	193.0	239.0	352.25	528.0	32.0	95.75	144.5	194.25	292.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae	1378.0	2305.5	2898.5	3658.5	7040.0	420.0	905.25	1211.5	2007.5	2907.0	5083.0	6027.5	7412.5	8442.5	13017.0	6026.0	7820.5	9351.0	16138.5	25052.0	3663.0	5572.5	9955.0	14610.25	23147.0	7587.0	8927.25	12713.0	19596.0	21874.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS7 marine group	1.0	10.25	20.0	26.0	87.0	1.0	1.0	1.0	2.0	21.0	1.0	1.0	1.0	2.25	61.0	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	13.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group	1.0	47.25	60.0	92.5	100.0	1.0	1.0	1.0	6.0	29.0	1.0	1.0	3.0	9.25	54.0	1.0	18.0	41.0	50.0	96.0	1.0	6.25	22.0	24.0	27.0	100.0	142.0	188.0	232.5	504.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Schleiferiaceae	1.0	1.0	1.0	6.25	31.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	7.0	17.5	50.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	9.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Weeksellaceae	1.0	1.0	1.0	1.0	29.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;__	4.0	19.5	29.5	66.5	138.0	1.0	2.5	10.5	20.5	53.0	1.0	1.0	6.5	8.25	24.0	1.0	2.0	9.0	64.5	117.0	14.0	27.75	59.5	73.75	95.0	36.0	75.0	138.0	173.5	210.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__AKYH767	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Lentimicrobiaceae	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__NS11-12 marine group	4.0	13.5	20.5	27.25	47.0	1.0	1.0	4.0	9.5	30.0	1.0	1.0	5.0	12.25	59.0	1.0	13.0	36.0	67.5	152.0	95.0	156.0	205.5	267.75	814.0	78.0	124.0	142.5	211.25	323.0
