	W	Reject null hypothesis
Bacteria;Gemmatimonadota;PAUC43f_marine_benthic_group;PAUC43f_marine_benthic_group;PAUC43f_marine_benthic_group	16	False
Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;uncultured	16	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae	16	False
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae	16	False
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexales	15	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	15	False
Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	14	False
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae	14	False
Bacteria;Actinobacteriota;Actinobacteria;Euzebyales;Euzebyaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae	13	False
Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae	13	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS_17	13	False
Bacteria;Actinobacteriota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae	13	False
Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae	13	False
Bacteria;Acidobacteriota;Subgroup_11;Subgroup_11;Subgroup_11	13	False
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae	13	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	13	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae	13	False
Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Streptosporangiaceae	12	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae	12	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	12	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae	12	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales	12	False
Bacteria;Proteobacteria;Alphaproteobacteria;__;__	12	False
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadia;Geopsychrobacteraceae	12	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;uncultured	12	False
Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84	11	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae	11	False
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae	11	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group	11	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae	11	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	11	False
Bacteria;Proteobacteria;Gammaproteobacteria;D90;D90	11	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	11	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	11	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae	11	False
Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41	11	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	11	False
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	10	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae	10	False
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family	10	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	10	False
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae	10	False
Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae	10	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;uncultured	10	False
Bacteria;Cyanobacteria;Cyanobacteriia;Phormidesmiales;Nodosilineaceae	10	False
Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae	10	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	10	False
Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae	9	False
Bacteria;Proteobacteria;Gammaproteobacteria;__;__	9	False
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;uncultured	9	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;__	9	False
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	9	False
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae	9	False
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadia;Desulfuromonadaceae	9	False
Bacteria;Actinobacteriota;MB-A2-108;MB-A2-108;MB-A2-108	9	False
Bacteria;Proteobacteria;Gammaproteobacteria;CCD24;CCD24	8	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	8	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	8	False
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae	8	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	8	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae	8	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS	8	False
Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae	8	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae	8	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae	8	False
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256	8	False
Bacteria;Firmicutes;Bacilli;Brevibacillales;Brevibacillaceae	8	False
Bacteria;__;__;__;__	8	False
Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae	8	False
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae	8	False
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured	8	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis	8	False
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae	7	False
Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae	7	False
Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae	6	False
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae	6	False
Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae	6	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae	6	False
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae	6	False
Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae	6	False
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae	6	False
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae	6	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	5	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae	5	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae	5	False
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	5	False
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	5	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured	5	False
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae	5	False
Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae	5	False
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae	5	False
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae	5	False
Bacteria;Actinobacteriota;Actinobacteria;PeM15;PeM15	4	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae	4	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae	4	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	4	False
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	3	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae	3	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	3	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae	3	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	2	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	2	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae	2	False
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14	2	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	1	False
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	1	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae	1	False
